문제,해설,정답
"아래 지문을 읽고,이를 설명할 수 있는 경제 용어는?    ①시뇨리지②양적긴축③볼커룰④뱅크런⑤로그롤링 ","뱅크런이란 은행의 대규모 예금 인출 사태를 말한다.은행이 부실해질 것을 두려워한 예금자들이 돈을 찾기 위해 은행으로 달려간다(run)는 데서 유래했다. 은행에 돈을 맡긴 사람들은 금융시장에 특정 사건으로 위기감이 조성되면 은행의 재정 건전성에 문제가 있다고 비관적으로 인식하여 그동안 저축한 돈을 인출할 생각을 한다.일부 예금주들이 행동하면 영향이 미미하다.하지만 대부분 고객이 은행으로 몰려가면,고객이 예금한 돈을 바탕으로 다양한 금융 활동을 하고 거기에서 수익을 창출하는 은행은 당장 돌려줄 돈이 바닥나는 패닉 현상이 발생할 수 있다.한국에서는 예금보험공사가 뱅크런으로 인한 은행의 위기를 막기 위해 은행이 문을 닫더라도 원금과 이자를 합해5000만원까지 보호해 주는 예금자보호법을 시행하고 있다. ",④
"보통 신문 기사에서‘쌍둥이 적자’를 언급할 때,동시에 적자를 기록하는 두 가지를 알맞게 고르면?  ①경상수지-재정수지②조세부담률-국민부담률③영업이익-자기자본이익 ④코스피지수-코스닥지수⑤통합재정수지-관리재정수지 ","쌍둥이 적자란 무역 부문의‘경상수지’와 정부의‘재정수지’가 동시에 적자를 기록하는 상황에서 사용하는 용어이다.경상수지 적자는 수출보다 수입이 많은 상황을,재정수지 적자는 정부의 세금 수입보다 지출이 많다는 의미다.",①
아래와 같은 경기변동의 양상이 나타날 때 필요한 정책은?    ① 기준금리를낮추고 세율을 인상한다. ②통화량을 줄이고 기준금리를 높인다. ③세율을 인하하고 통화량을 늘린다. ④정부 지출을 늘리고 통화량을 줄인다. ⑤정부 지출을 줄이고 기준금리를 높인다.  문제에서 제시된 경제 상황은 경기 침체기를 나타낸다.경기 침체기에는 정부의 확장적 재정정책(정부지출의 증가 및 세율 인하)과중앙은행의 확장적 통화정책(통화량 증가 및 기준금리 인하)이 필요하다. 보기에서 확장적 정책 조합으로는 세율 인하와 통화량을 늘리는 것이다.정답③,"경기변동은 고용,재화 및 서비스의 생산량,소비와 투자 등 경제활동을 나타내는 지표가 주기적으로 변동하는 현상이다.경기의 정점에서 저점에 이르는 하강 국면은 침체기와 불황기로 구분되고,저점에서 정점에 이르는 기간은 회복기와 확장기로 구분된다.",
"아래 밑줄 친 제도와 목적이 같은 제도를<보기>에서 고르면?   ① ㄱ,ㄴ      ② ㄱ,ㄷ      ③ ㄴ,ㄷ      ④ ㄴ,ㄹ      ⑤ ㄷ,ㄹ ","규제 샌드박스란 기업에 기존 규제로 시도조차 하지 못했던 신산업을 제한된 범위 내에서 시장 출시 또는 시험·검증할 수 있도록 규제 특례를 부여하는 제도이다.이와 같은 목적을 지닌 제도로는<보기>에서 규제 프리존,경제자유구역이 있다. 규제 프리존이란 정부가27개 전략산업을 육성하기 위해 규제를 대폭 완화하기로 한14개 도시를 말한다.정부는 지자체가 선정한 산업을 육성하기 위해 업종,입지 등 핵심 규제를 풀어준다. 경제자유구역이란 외국인투자유치 촉진,국가경쟁력 강화 및 지역 간 균형발전을 위해2003년 도입한 제도로 국제경영활동에 최적의 환경을 제공하기 위해 조성하는 특별 경제구역을 말한다.첨단의 공항·항만·오피스 시설과 쾌적한 학교·병원·관광시설을 복합적으로 개발하기 위해 외국 기업에 세금과 법·제도상 혜택을 준다.",②
"아래 그림은2000년 이후 한국으로의 투자 유입과 유출을 나타낸 것이다.투자 유출이 유입보다 커지면 국가 경제 차원에서도 부정적이다.이에 따라 한국에 외국인직접투자(유입)를 유치하기 위한 방안을<보기>에서 모두 고르면?    ① ㄱ,ㄴ,ㄷ     ② ㄱ,ㄴ,ㄹ     ③ ㄴ,ㄷ,ㄹ④ ㄴ,ㄷ,ㅁ     ⑤ ㄷ,ㄹ,ㅁ ","외국인직접투자를 활성화하기 위해서는 외국인 투자자가 투자하기 좋은 환경을 만들어야 한다. 법인세 인하, 외국인 투자에 대한 세금 감면 확대, 투자와 관련한 각종 규제를 개선하는 것이 대표적인 방안이다.",②
"아래 기사를 읽고,밑줄 친(A), (B)에 해당하는 정책이나 의견을잘못짝지은 것은?    ①(A)  -ㄱ    ②(A)  -ㄷ    ③(B)  -ㄹ    ④(B)  -ㅂ    ⑤(A)  -ㅁ ",중앙은행의 통화정책을 결정하는 위원회에서 위원들은 성향에 따라 비둘기파와 매파로 나뉜다. 비둘기파는 경제성장을 촉진하기 위해 금리 인하와 양적완화 등의 금융완화 정책을 통해 물가 상승은 일정 부분 필요하다는 태도다.,②
"공급의 가격탄력성은1.5이고 수요의 가격탄력성은0인 상품의 생산자에게 물품세를 부과한다고 하자.이때,조세의 실질적인 부담은 누구에게 있는가?  ①생산자가 소비자보다 더 부담②정부 ③소비자와 생산자가 절반씩 부담④소비자⑤생산자 ",공급의 가격탄력성은1보다 큰 탄력적이고 수요의 가격탄력성은0인 완전 비탄력적인 상황이다.이때 상품에 물품세를 부과하면 조세가 소비자에게 모두 전가되어 실질적으로 소비자가 전체 세금을 부담하게 된다.정답④,
경제문제가 발생하는 가장 근본적인 원인은?  ①임금이 급격하게 감소하기 때문이다. ②인간의 행동은 이타적이기 때문이다. ③인간의 소비패턴이 일정하기 때문이다. ④인간의 욕구에 비해 자원이 희소하기 때문이다. ⑤식량의 증가속도가 기술발전으로 매우 빠르기 때문이다. ,"경제문제가 발생하는 가장 근본적인 원인은 인간의 욕구에 비해 자원이 희소하기 때문이다.희소성이란 인간의 물질적 필요에 비해 충족시킬 수 있는 자원의 양이 부족한 상태를 말한다.즉,희소성이 크면 재화를 원하는 사람들의 욕망에 비해 그 재화의 양이 적다는 뜻이다.이는 재화의 절대량이 얼마나 많은가 적은가 문제가 아니라 욕망에 비해 상대적으로 결정된다.정답④",
총공급 측면에서 인플레이션을 발생시키는 원인이 아닌 것은?  ①정부지출 증가 ②국제 원자재가격 급등 ③홍수 등과 같은 자연재해 ④환경기준에 대한 정부의 규제 강화 ⑤노동생산성을 초과한 과도한 임금 상승 ,"인플레이션 유형에는 총수요(AD)의 변동으로 나타나는 인플레이션과 총공급(AS)의 변동으로 나타나는 인플레이션이 있다. 이중 총공급의 감소로 총공급 곡선이 좌측으로 이동하여 발생하는 인플레이션을 비용 인상 인플레이션이라 부른다.대표적인 요인으로 생산성을 초과한 노동자의 과도한 임금인상,석유 파동과 같은 원자재 가격 급등과 같은 공급충격 등을 들 수 있다.환경기준에 대한 정부의 규제가 강화되면,기업은 이를 준수하기 위해 관련한 비용이 증가하므로 생산에 부정적인 영향을 미칠 수 있다.따라서 총공급 곡선이 좌측으로 이동하는 요인이다.",①
유니콘과 데카콘은 각각 기업가치 몇억 달러가 기준이 되는가?  ①10–50②10–100③50–10④50–100⑤100 - 200 ,유니콘은 원래 머리에 뿔이 하나 달린 신화 속 동물을 일컫는데 경제 분야에서는 기업가치가10억 달러를 넘는 비상장 스타트업을 말한다.이보다 가치가 높은 기업들이 등장했는데 유니콘보다 열 배 이상 가치(100억 달러)가 높은 신생 벤처기업을 데카콘이라 부른다.참고로1000억 달러의 가치를 지닌 벤처기업을 헥토콘이라고 부른다.정답②  ☞함께 읽으면 유익한 기사 http://sgsg.hankyung.com/article/2022022585731,
"신문 기사를 읽고,이와 관련한 설명 중 옳지않은것은?    ①일반적으로㉠을 시도하더라도 백기사와 같은 우호 세력이 있다면,㉠이 쉽지 않다. ② 머스크가 한㉠은 공개매수가 대표적이다. ③ 이사회 입장에서는㉡은 경영권 방어 수단으로,기존 주주들에게 시가보다 싼 값에 트위터 주식을 살 수 있는 권리를 주는 것이다. ④㉡과 같은 목적을 가진 제도로 황금낙하산도 있다. ⑤ 한국에서도㉡이 제도로 채택되어 운영되고 있다. ","인수합병(M&A)에는 거래 성격에 따라 목표 기업의 경영층과 합의에 따라 이뤄지는 우호적M&A와 경영층이 반대하는 가운데 주주들을 대상으로 일어나는 적대적M&A로 나뉜다. 특히 공개매수는 기업M&A의 한 형태로서 회사의 지배권 획득 또는 유지·강화를 목적으로(예외적으로 상장 폐지를 목적으로 하는 경우도 있음)주식의 매수 희망자가 매수 기간·가격·수량 등을 공개적으로 제시하고,유가증권시장 밖에서 불특정 다수의 주주로부터 주식을 매수하는 방법이다.일반적으로 공개매수는 대상 기업의 의사와는 무관하게 이루어지는 적대적M&A의 일종으로,공개매수 절차가 진행되는 동안 매수 희망 기업과 대상 기업 또는 대주주 사이에 지분 확보 및 경영권 방어를 둘러싸고 치열한 경쟁 양상을 보이기도 한다. 적대적M&A가 일어나면 기존 경영진들은 경영권 방어에 우호적인 세력인 백기사를 끌어들여 경영권을 방어하려 한다. 또한,포이즌 필과 같은 경영권 방어제도를 도입하기도 한다.포이즌 필이란 해당 기업에 대한 매수 시도가 시작되면 기존 주주에게 시가보다 낮은 가격에 주식을 매입할 권리를 부여하는 조항이다.경영권을 노리는 기업이 해당 기업을 쉽게 인수하지 못하도록 하는 독약과 같은 효과를 낸다는 의미에서 포이즌 필이란 이름이 붙었다.한국에서는 포이즌 필이 제도적으로 운영되고 있지 않다.",⑤
"아래 지문을 읽고, (A)에 들어갈 알맞은 단어를 고르면?    ①화이트칼라②퍼플칼라③골든칼라④핑크칼라⑤블루칼라 ","퍼플칼라는 근로시간과 장소를 탄력적으로 선택하는 근로자를 뜻한다.여성을 상징하는 빨강,남성을 상징하는 파랑이 섞여서 가정과 일의 균형을 이룬다는 의미다. 가정과 일 모두를 위해 근로시간을 자유롭게 선택하는 유연근로제가 확대되면서 이와 같은 퍼플칼라가 늘어날 것으로 예측된다.",②
"아래 지문을 읽고, (A)를 표현하는 경제적 용어로 알맞은 것을 고르면?    ①핀테크②리걸테크③애그테크④프롭테크⑤밀리테크 ","리걸테크란 법률과 기술이 결합한 새로운 형태의 법률 서비스를 뜻한다.변호사 검색에서 상담 신청,법령 검색,업무 처리 등을 도와주는 기술이다.금융과 기술이 결합된 핀테크의 법률 서비스 버전인 셈이다.",②
"아래 그림은 민간 경제의 흐름을 나타낸다.이에 대한<보기>의 설명 중 옳은 것을 고르면?[(가)와(나)는 각각 가계와 기업 중 하나이다.]      ①ㄱ,ㄴ②ㄱ,ㄷ③ㄴ,ㄷ④ㄴ,ㄹ⑤ㄷ,ㄹ ",생산 요소 시장에서(가)는 생산 요소를 제공하고 소득(㉠)을 얻는 가계이다. (나)는 생산물 시장에서 재화 및 서비스를 공급하고 판매 수입 및 매출(㉡)을 얻는 기업이다.가계는 소비 활동의 주체이며 효용 극대화를 추구한다.기업은 생산 활동의 주체이며 이윤극대화를 추구한다.,①
"아래 표는 금융 상품A, B의 일반적인 특징을 비교한 것이다.이와 관련한 설명 중 옳은 것을 고르면?(단, A, B는 각각 주식 또는 채권 중 하나이다.)    ①A를 보유한 사람은 확정 이자를 기대할 수 있다. ②B를 발행하면 기업 입장에서는 자기자본에 해당한다. ③(가)에는‘이사회에 참석할 수 있는 권리가 주어지는가?’가 들어갈 수 있다. ④(나)에는‘배당 수익을 기대할 수 있는가?’가 들어갈 수 있다. ⑤A, B모두 시세 차익을 기대할 수 있다. ","‘기업이 회사 소유권의 일부를 투자자에게 부여하는 증표인가?’의 질문에A는 '예'라고 답했으므로A는 주식이다.따라서B는 채권이다. 기업의 입장에서 주식은 자기자본,채권은 부채에 해당한다.확정 이자를 기대할 수 있는 금융상품은 주식과 채권 중 채권이다.주식은 정해진 만기가 없으며,채권은 일반적으로 만기가 존재한다.",⑤
다음 나열한 내용이 설명하는 용어를‘이것’주식이라 한다.‘이것’은 무엇인가?  ◾개인투자자들의 입소문을 타고 주가가 급등하거나 급락한 주식 ◾리처드 도킨스《이기적 유전자》에서 처음 사용된 말 ◾모방 투자를 한다는 의미  ①밈②줌인③핌피④님비⑤크로스 ,밈 주식이란 각종SNS나 온라인 커뮤니티에서 개인투자자의 눈길을 끌어 유행을 타게 된 주식을 의미한다.사업성과 등 기업 실적에 상관없이 개인투자자 사이에 입소문을 타고 매수 주문이 몰리면서 주가가 급등하거나 급락한다.변동성이 커서 도박에 가까운 특성이 있다. 원래‘밈’은 리처드 도킨스는 저서《이기적 유전자》에서 처음 사용된 말로 유전적 방법이 아닌 모방을 통해 전달되는 문화 요소를 말한다.문화적 유전자라고 부르기도 한다.,①
,"중앙은행의 통화정책을 결정하는 위원회에서 위원들은 성향에 따라 매파와 비둘기파로 나뉜다.매파는 긴축정책인 금리 인상을 통해 물가안정을 추구한다.반면 비둘기파는 경제 성장을 중시해 금융완화 정책인 양적 완화,금리 인하를 통해 적절한 인플레이션이 필요하다는 입장이다.",②
,"LTV(Loan To Value ratio)는 주택담보인정비율이라고 한다.은행이 주택, 상가, 빌딩 등을 담보로 잡고 돈을 빌려줄 때 담보 물건의 실제 가치 대비 대출금액 비율을 뜻한다. DTI(Debt To Income)는 총부채상환비율이라 한다.총소득에서 부채의 연간 원리금 상환액이 차지하는 비율을 말한다.소득을 기준으로 금융회사로부터 대출받을 수 있는 한도를 정하는 계산비율이다.",②
,가격상한제(최고가격제)는 주택임대료 상한제와 같이 시장 균형 가격보다 낮게 가격을 통제하는 제도다.이를 시행하면 초과 수요가 발생한다.,②
,"미 연방준비제도이사회(FRB)가 연간8차례 발표하는 미국경제동향 종합보고서를 말한다.책 표지가 베이지색이라는 데에 이 용어가 유래됐다.베이지북은 연방준비제도이사회산하12개 지역 연방준비은행이 기업인과 경제학자,시장 전문가 등의 견해와 각 지역의 산업생산활동,소비동향,물가,노동시장상황 등 모든 경기지표를 조사분석해 하나로 묶은 것이다.정답⑤",
,퍼네이션은 ‘재미(fun)’와 ‘기부(donation)’의 합성어로 즐거움을 느끼며 기부 활동을 하는 것을 의미한다. 얼마를 기부하느냐보다 어떻게 기부하느냐에 초점을 맞춰 일상 속에서 나눔을 생활화하는 문화를 일컫는 용어로도 사용된다. 퍼네이션은 대중이 기부에 거부감을 갖지 않고 참여할 수 있는 문화를 조성해야 한다는 필요성이 높아지면서 형성됐다. 기존의 기부 문화와 달리 금전적으로 부담을 덜면서 참여자가 직접 참여해 흥미와 즐거움을 느낄 수 있게 기부 활동을 할 수 있도록 한 것이 특징이다. 스마트폰 애플리케이션(앱) 등을 활용한 퍼네이션이 대표적인 예다.,④
,"경제이론은 실증경제이론과 규범경제이론으로 구분할 수 있다.실증경제이론은 사실에 대한 분석이다.일정한 수치로 증명할 수 있으며 옳고 그름을 판단할 수 있다. 반면,규범경제이론은‘어느 것이 더 바람직한가’에 대한 분석이다.이런 분석에는 가치 판단이 개입하기 마련이어서 타당성 여부를 가려내기가 쉽지 않다.",⑤
,"잠재GDP란한 나라의 경제가 인플레이션을 일으키지 않고 생산할 수 있는 최대 생산량을 의미하며,경제의 생산능력을 나타내는 지표이다. 잠재GDP는 노동력,자본,기술 등의 생산요소가 최대한 활용할 때 달성할 수 있는 생산량으로,경제의 구조적 특성과 경제 정책 등에 영향을 받는다. 잠재GDP는 실제GDP와 비교해경제정책의 수립과 평가에도 중요한 역할을 한다.예를 들어정부가 경제정책을 수립할 때는 잠재GDP를 고려하여 적절한 정책을 수립해야 하며,경제의 성장률이 잠재GDP를 초과할 경우 인플레이션이 발생할 가능성이 커지므로,경제정책을 조정하여 인플레이션을 예방해야 한다.",⑤
,해당경제학자는 기업이 소비자의 최대 지불용의 가격을 완전히 파악하여 소비자마다 다른 가격을 부과하는 완벽한 가격차별 또는1급가격차별과 관련한 이야기를 하고 있다.이 경우 기업은 각 개인의 지불용의를 모두 파악하여 소비자 잉여를 생산자 잉여로 귀속한다. 그러므로 1급 가격차별일 경우 독점기업은 완전경쟁시장과 동일하게 한계수입과 한계비용이 일치하는 수준까지 상품을 생산하므로 시장 거래량은 감소하지 않는다. 가격차별은 독점시장에서 나타난다.정답③,
"아래는 국제통화체제의 역사적 사건들을 나열한 것이다.시간에 따라 순서대로 올바르게 나열한 것은?  “브레턴우즈 체제,킹스턴 체제,스미소니언 체제”  ①브레턴우즈 체제→킹스턴 체제→스미소니언 체제 ②브레턴우즈 체제→스미소니언 체제→킹스턴 체제 ③킹스턴 체제→브레턴우즈 체제→스미소니언 체제 ④킹스턴 체제→스미소니언 체제→브레턴우즈 체제 ⑤스미소니언 체제→브레턴우즈 체제→킹스턴 체제 ","브레턴우즈 체제란1944년 미국·영국·프랑스 등 선진국은 미국 뉴햄프셔 브레턴우즈에서 기존의 금 대신 미국 달러화를 국제결제에 사용하도록 하는 국제통화체제다.미국의 달러화를 국제 거래의 기축통화로 하고 금1온스를35달러에 고정하는 고정환율제를 도입했다.국제통화기금과 세계은행도 이 체제에 맞춰 설립됐다. 스미소니언 체제란 미국 닉슨 대통령의 달러화의 금태환 정지(1971.8.15)에 따른 국제통화제도의 혼란을 수습하기 위하여1971년12월 워싱턴의 스미소니언 박물관에서 열린 다국 간 통화조정회의 이후 시행되기 시작한 국제통화체제를 말한다.주요 내용으로는미국 달러화를 기준으로 하는 환율제도,미국 달러화를 금1온스당35달러에서38달러로 평가절하, 각국 통화의 환율변동 조정폭을 상하 1%에서 2.25%로 확대하는 것이다.",②
"그림의(가)는 감자 시장의 균형점 변화를 나타낸 것이다.이러한 변화의 요인이 될 수 있는 사례로 적절한 것은?(단,감자 시장은 공급 법칙을 따른다.)     ①감자 재배 기술이 발전했다. ②소비자의 감자 선호가 증가했다. ③적절한 기후로 감자의 수확량이 증가했다. ④대체 관계에 있는 고구마의 가격이 상승했다. ⑤태풍으로 전국의 감자밭에 침수피해가 발생하였다.  ","수요곡선이 주어진 상태에서 감자 시장이 공급의 법칙을 따를 때,(가)와 같이 이동하는 경우는 공급곡선이 좌측으로 이동할 때 발생한다.감자 재배 기술의 발전은 감자 공급의 증가 요인이다.소비자의 감자에 대한 선호 증가,대체 관계에 있는 고구마의 가격 상승은 감자 수요의 증가 요인이다.자연재해에 따른 감자밭 침수는 감자 공급의 감소요인이다.정답⑤",
아래 그림이 의미하는 실업의 종류와 관련한 설명으로 옳지않은것은?    ①자발적 실업에 해당한다. ②완전고용 상태에서도 나타난다. ③경기가 침체함에 따라 발생한다. ④해당 실업은 경제의 윤활유 같은 역할을 한다. ⑤해당 실업은 일자리 정보를 제공하는 정보망 확충을 통해 어느 정도 줄일 수 있다. ,"그림은 다른 일자리를 찾기 위해 스스로 실업을 선택하는 상황을 보여준다.이를 보통 마찰적 실업이라 한다. 마찰적 실업이란 노동자가 일자리를 바꾸는 등 노동력의 수요와 공급이 일시적으로 불균형상태를 이루는 정상적이고 회피 불가능한 실업을 의미한다.마찰적 실업은 노동자들이 일자리를 탐색하는데 시간이 걸리기 때문에 발생하므로 탐색적 실업이라고도 한다. 노동자들이 가진 능력이 다르고,각 일자리가 요구하는 노동의 특성이 다르므로 완전고용 상태에서도 마찰적 실업은 항상 존재한다.여기서 완전고용은 구조적 실업(산업구조 변화,제도 변화에 따른 시장 불균형)과 마찰적 실업(단기적인 시장 마찰에 의한 실업)이 존재하는 상태다.일자리에 관한 정보망의 확충 등을 통해 마찰적 실업을 줄일 수는 있다.",③
"경기를 판단하는 지표로 구매관리자지수(PMI)가 있다.이때, PMI로 경기를 확장,수축을 판단하는 기준 숫자는 얼마인가?  ①10②50③100④150⑤200 ",PMI(Purchasing Managers' Index)는 제조업 분야의 경기동향지수이다.기업의 구매담당자를 대상으로 한 설문조사를 통해 경기를 판단하는 지표로 사용한다.미국의 구매관리자협회(NAPM:National Association of Purchasing Management)는 매달 약3백명의 회원에게 제조업 동향에 대한 설문을 해 산출하는 지수를 말하나 통상NAPM의 지수 자체를 가리키기도 한다.,②
